"","...1","...2","duration..ms.","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","spec_rate","labels"
"163",55837,0.3164829,0.1013129,0.7118301,0.736,0.8448598,0.2870466,0.3403614,0,0.0848,0.3467337,0.5599236,0.01250056,1
"164",8625,0.05419233,0.09533842,0.661274,0.815,0.8083783,0.05637306,0.03955823,0.0192,0.347,0.7919598,0.4959014,0.002605877,1
"165",85608,0.4704033,0.06438044,0.6380182,0.454,0.7765583,0.07212435,0.1506024,0.513,0.0435,0.8562814,0.3870007,0.004892045,1
"166",185982,0.9829601,0.09064526,0.3377149,0.634,0.8218952,0.04404145,0.01706827,0,0.113,0.1437186,0.60878,0.002139123,0
"167",152865,0.8116257,0.05554996,0.7067745,0.808,0.851782,0.02497409,0.1044177,0.00127,0.35,0.8924623,0.3940159,0.001954472,1
"168",85528,0.4700902,0.1425543,0.6754297,0.735,0.739344,0.04901554,0.05070281,0.788,0.0424,0.9447236,0.5154898,0.001525008,1
"169",96588,0.5173889,0.06105202,0.3609707,0.217,0.7288048,0.03419689,0.8514056,0.000191,0.086,0.05396985,0.4885389,0.002442211,0
"170",139000,0.7407821,0.09547857,0.6956522,0.776,0.7435378,0.04279793,0.00752008,0.882,0.108,0.1959799,0.5634269,0.001975511,1
"171",71395,0.3990775,0.07445776,0.29727,0.305,0.7401858,0.0357513,0.6817269,0.713,0.22,0.1477387,0.5716579,0.002104757,0
"172",30121,0.1754685,0.07082124,0.6228514,0.275,0.7002588,0.03015544,0.7540161,0.000551,0.192,0.6160804,0.4659047,0.001864137,0
"173",163122,0.8655842,0.05054537,0.5561173,0.221,0.777712,0.0534715,0.8433735,0,0.111,0.4522613,0.3778505,0.00458427,0
"174",167214,0.8880498,0.04519792,0.8463094,0.649,0.853419,0.1989637,0.1495984,7.63e-05,0.103,0.9527638,0.69475,0.01899592,1
"175",38227,0.2206083,0.158697,0.8119312,0.727,0.8327461,0.04870466,0.01967871,0.00014,0.0664,0.7447236,0.5126091,0.001362985,1
"176",154630,0.8209552,0.04682181,0.5187058,0.505,0.7234729,0.06082902,0.7981928,0.45,0.406,0.5979899,0.7189389,0.0056139,0
"177",16007,0.09332004,0.04885418,0.5854398,0.185,0.6853544,0.04051813,0.9457831,0.137,0.0989,0.6824121,0.5445503,0.003589569,0
"178",34598,0.1931308,0.03844708,0.4762386,0.305,0.764273,0.03378238,0.4909639,0,0.0915,0.5386935,0.558945,0.003765485,0
"179",57562,0.3233406,0.05413156,0.7259858,0.489,0.819962,0.4279793,0.02881526,9.39e-06,0.058,0.5849246,0.7367438,0.03434205,1
"180",54796,0.3118488,0.05496408,0.6511628,0.767,0.8529669,0.2310881,0.06064257,0,0.342,0.3376884,0.6459656,0.0182714,1
"181",29924,0.1746949,0.05253158,0.5803842,0.396,0.7636026,0.03243523,0.4196787,0.0419,0.111,0.2472362,0.3775031,0.002679232,0
